#Object_Name,Data_index,Opt_SpT,Opt_spt_unc,NIR_spt,J-K,J-K_unc,H-K,H-K_unc,J-H,J-H_unc,JK_Dev,JK_Dev_unc,HK_Dev,HK_Dev_unc,JH_Dev,JH_Dev_unc,Classification,IP_mu,IP_sigma,Lmax_mu,Lmax_sigma,Lmin_mu,Lmin_sigma,color,marker,double_obj,size
2MASS J00150206+2959323,-,17,0.5,17.5,1.676,0.109,0.744,0.111,1.676,0.117,-0.134,0.118,0.044,0.114,0.566,0.122,blue,1.27782523,0.04381598,1.28096153,0.00432583,1.16988175,0.00285283,b,o,grey,80
2MASS J01033203+1935361,21,16,0.5,16,2.139,0.099,0.748,0.081,1.391,0.098,0.299,0.118,0.66,0.088,0.281,0.108,standard,1.26486135,0.04961399,1.30079236,0.00501374,1.16416631,0.00175457,k,*,orange,100
2MASS J01033203+1935361,22,16,0.5,16,2.139,0.099,0.748,0.081,1.391,0.098,0.299,0.118,0.66,0.088,0.281,0.108,standard,1.26986814,0.04883655,1.30099698,0.00522816,1.16480405,0.00160912,k,*,orange,100
2MASS J01415823-4633574,10,10,0.5,10,1.735,0.054,0.778,0.041,0.957,0.05,0.515,0.055,0.298,0.042,0.207,0.051,young,1.28502946,0.00286724,1.28723822,0.00308531,1.18226669,0.00100731,r,^,blue,80
2MASS J01415823-4633574,11,10,0.5,10,1.735,0.054,0.778,0.041,0.957,0.05,0.515,0.055,0.298,0.042,0.207,0.051,young,1.28708583,0.00292365,1.28803471,0.00088151,1.18478029,0.00052599,r,^,blue,80
2MASS J01415823-4633574,53,10,0.5,10,1.735,0.054,0.778,0.041,0.957,0.05,0.515,0.055,0.298,0.042,0.207,0.051,young,1.29014163,0.00684588,1.29141913,0.00588447,1.18183042,0.00117935,r,^,blue,80
2MASS J01415823-4633574,54,10,0.5,10,1.735,0.054,0.778,0.041,0.957,0.05,0.515,0.055,0.298,0.042,0.207,0.051,young,1.21848545,0.00410633,1.27308802,0.11436598,1.18226866,0.00088139,r,^,blue,80
2MASS J02550357-4700509,-,18,0.5,19,1.688,0.036,0.646,0.034,1.042,0.036,-0.162,0.048,0.646,0.039,-0.068,0.046,field,1.30676967,0.00165698,1.28209257,0.00058607,1.15976429,0.00055413,grey,*,grey,100
2MASS J03001631+2130205,-,16,1,16,1.566,0.098,0.42,0.091,1.146,0.103,-0.274,0.103,-0.34,0.097,0.036,0.113,blue,1.30702699,0.00911507,1.29915732,0.00403595,1.18262684,0.0005692,b,o,grey,80
2MASS J03454316+2540233,23,10,0.5,11,1.325,0.036,0.539,0.038,0.786,0.04,0.105,0.037,0.5,0.039,0.036,0.041,standard,1.21126491,0.00949501,1.2445954,0.00017772,1.18192912,0.00020873,k,*,red,100
2MASS J03454316+2540233,24,10,0.5,11,1.325,0.036,0.539,0.038,0.786,0.04,0.105,0.037,0.5,0.039,0.036,0.041,standard,1.30164341,0.00828655,1.28618986,0.00397544,1.18868213,0.00092548,k,*,red,100
2MASS J03552337+1133437,-,15,0.5,13,2.524,0.032,1.004,0.037,1.52,0.039,0.774,0.049,0.344,0.042,0.43,0.046,young,1.31491518,0.0082546,1.31618957,0.00363908,1.17013297,0.00080476,r,^,grey,80
2MASS J0746425+200032,-,10.5,1,11,1.291,0.03,0.539,0.031,0.752,0.03,0.071,0.031,0.507,0.032,0.002,0.031,field,1.30748016,0.00414948,1.29673298,0.00100399,1.18763898,0.00038112,grey,*,grey,100
2MASS J11181292-0856106,-,16,0.5,16,1.56,0.12,0.59,0.103,1.56,0.107,-0.28,0.136,-0.17,0.108,-0.14,0.117,blue,1.22268194,0.01466666,1.28050593,0.00152234,1.17446472,0.00100999,b,o,grey,80
2MASS J13004255+1912354,25,11,0.5,13,1.093,0.03,0.456,0.03,1.093,0.032,-0.257,0.034,-0.084,0.033,-0.173,0.034,blue,1.23328204,0.01353402,1.27911572,0.00203417,1.18828609,0.00104323,b,o,green,80
2MASS J13004255+1912354,26,11,0.5,13,1.093,0.03,0.456,0.03,1.093,0.032,-0.257,0.034,-0.084,0.033,-0.173,0.034,blue,1.29839653,0.03434982,1.28340448,0.00186505,1.1864421,0.00067888,b,o,green,80
2MASS J13004255+1912354,40,11,0.5,13,1.093,0.03,0.456,0.03,1.093,0.032,-0.257,0.034,-0.084,0.033,-0.173,0.034,blue,1.29686601,0.03521959,1.28348193,0.0019402,1.18642825,0.00068055,b,o,green,80
2MASS J13004255+1912354,45,11,0.5,13,1.093,0.03,0.456,0.03,1.093,0.032,-0.257,0.034,-0.084,0.033,-0.173,0.034,blue,1.31462643,0.02128798,1.28663775,0.00060166,1.18418036,0.00020473,b,o,green,80
2MASS J13313310+3407583,-,10,0.5,11,1.448,0.035,0.515,0.037,0.933,0.04,0.228,0.036,0.515,0.037,0.933,0.04,red,1.2960495,0.00207832,1.287995,0.00213866,1.18848408,0.00037337,r,o,grey,80
2MASS J13314894-0116500,-,16,0.5,18:02.5,1.387,0.079,0.397,0.079,0.99,0.057,-0.453,0.102,-0.363,0.086,-0.12,0.074,blue,1.29606336,0.00141288,1.28822749,0.00222815,1.18848578,0.00028323,b,o,grey,80
2MASS J14313097+1436539,-,12,0.5,13.5:1.5,1.03,0.072,0.381,0.077,1.03,0.062,-1.51,0.077,-0.209,0.078,-0.261,0.065,blue,1.22815295,0.02140879,1.28403063,0.00088434,1.17965305,0.00039227,b,o,grey,80
2MASS J14403186-1303263,-,11,0.5,11,1.128,0.082,0.468,0.105,1.128,0.096,-0.222,0.084,-0.072,0.105,-0.15,0.097,blue,1.26772967,0.0381478,1.28875047,0.00634539,1.18819105,0.00246942,b,o,grey,80
2MASS J15065441+1321060,12,13,0.5,-,1.624,0.03,0.639,0.028,0.985,0.031,0.014,0.041,0.605,0.034,0.025,0.036,field,1.30887959,0.00323031,1.3047465,0.00244165,1.184868,0.0001847,grey,*,brown,100
2MASS J15065441+1321060,27,13,0.5,-,1.624,0.03,0.639,0.028,0.985,0.031,0.014,0.041,0.605,0.034,0.025,0.036,field,1.23147152,0.00205606,1.2910744,0.00117514,1.18450413,0.00065911,grey,*,brown,100
2MASS J15065441+1321060,28,13,0.5,-,1.624,0.03,0.639,0.028,0.985,0.031,0.014,0.041,0.605,0.034,0.025,0.036,field,1.23146246,0.00353158,1.2910296,0.00117957,1.18446472,0.00064465,grey,*,brown,100
2MASS J15065441+1321060,56,13,0.5,-,1.624,0.03,0.639,0.028,0.985,0.031,0.014,0.041,0.605,0.034,0.025,0.036,field,1.23431065,0.0214717,1.29039609,0.00149314,1.18308426,0.00077702,grey,*,brown,100
2MASS J15074769-1627386,13,15,0.5,15.5,1.518,0.037,0.583,0.035,0.935,0.036,-0.232,0.052,-0.077,0.04,-0.155,0.043,blue,1.31857503,0.00137422,1.29160064,0.00032335,1.18145153,0.00010357,b,o,cyan,80
2MASS J15074769-1627386,14,15,0.5,15.5,1.518,0.037,0.583,0.035,0.935,0.036,-0.232,0.052,-0.077,0.04,-0.155,0.043,blue,1.31860028,0.00143211,1.29161296,0.0003137,1.18145394,0.00010524,b,o,cyan,80
2MASS J15074769-1627386,29,15,0.5,15.5,1.518,0.037,0.583,0.035,0.935,0.036,-0.232,0.052,-0.077,0.04,-0.155,0.043,blue,1.23012181,0.0047201,1.2979461,0.00173633,1.17668229,0.00074148,b,o,cyan,80
2MASS J15074769-1627386,3,15,0.5,15.5,1.518,0.037,0.583,0.035,0.935,0.036,-0.232,0.052,-0.077,0.04,-0.155,0.043,blue,1.31860088,0.00134937,1.2916231,0.00033259,1.18144859,0.00010578,b,o,cyan,80
2MASS J15074769-1627386,30,15,0.5,15.5,1.518,0.037,0.583,0.035,0.935,0.036,-0.232,0.052,-0.077,0.04,-0.155,0.043,blue,1.23007976,0.00487273,1.29779454,0.00175647,1.17666862,0.00072471,b,o,cyan,80
2MASS J155152.37+094114.8,-,13.5,1,-,2.009,0.125,0.804,0.092,1.205,0.132,0.399,0.128,0.154,0.094,0.245,0.133,young,1.30542707,0.01451013,1.28686001,0.00126954,1.17198542,0.00152245,r,^,grey,80
2MASS J17210390+3344160,-,13,0.5,15:00,1.136,0.03,0.463,0.033,0.673,0.035,-0.474,0.041,-0.187,0.038,-0.287,0.039,blue,1.22657233,0.00391435,1.28373521,0.00131574,1.18185115,0.00061008,b,o,grey,80
2MASS J17312974+2721233,-,10,0.5,-,1.18,0.034,0.477,0.037,0.703,0.04,-0.04,0.036,-0.003,0.038,-0.047,0.041,blue,1.30263296,0.00124647,1.2843638,0.00074344,1.189298,0.00019988,b,o,grey,80
2MASS J18212815+1414010,63,14.5,0.5,15,1.781,0.032,0.746,0.028,1.035,0.031,0.041,0.052,0.076,0.036,-0.035,0.041,red,1.303848867,0.000679393,1.304295143,0.000633765,1.178117546,0.000116891,r,o,purple,80
2MASS J18212815+1414010 ,7,14.5,0.5,15,1.781,0.032,0.746,0.028,1.035,0.031,0.041,0.052,0.076,0.036,-0.035,0.041,red,1.24859224,0.04183742,1.2950329,0.00097558,1.17838438,0.00031708,r,o,purple,80
2MASS J18212815+1414010 ,15,14.5,0.5,15,1.781,0.032,0.746,0.028,1.035,0.031,0.041,0.052,0.076,0.036,-0.035,0.041,red,1.22925164,0.02036428,1.29329958,0.00041289,1.1796413,0.00011516,r,o,purple,80
2MASS J19495702+6222440,-,12,0.5,12,1.609,0.166,0.72,0.173,0.889,0.18,0.099,0.168,0.13,0.174,-0.021,0.181,blue,1.28483991,0.01989254,1.27583231,0.02099471,1.17302705,0.0085408,b,o,grey,80
2MASS J21304464-0845205,34,11.5,0.5,-,1.322,0.046,0.519,0.046,0.803,0.045,-0.028,0.049,0.472,0.047,-0.007,0.047,standard,1.30474002,0.02108969,1.28351899,0.00254189,1.19032216,0.00094505,k,*,orange,100
2MASS J21304464-0845205,35,11.5,0.5,-,1.322,0.046,0.519,0.046,0.803,0.045,-0.028,0.049,0.472,0.047,-0.007,0.047,standard,1.30456362,0.02169825,1.28354599,0.00253487,1.19029094,0.00090861,k,*,orange,100
2MASS J21304464-0845205,8,11.5,0.5,-,1.322,0.046,0.519,0.046,0.803,0.045,-0.028,0.049,0.472,0.047,-0.007,0.047,standard,1.3048092,0.0204447,1.28340954,0.00261058,1.190255,0.00090157,k,*,orange,100
2MASS J21481628+4003593,16,16,0.5,16.5,2.382,0.037,1.018,0.038,1.364,0.042,0.542,0.057,0.258,0.05,0.254,0.063,red,1.22733618,0.00115628,1.28361999,0.00145631,1.16876227,0.00069485,r,o,green,80
2MASS J21481628+4003593,17,16,0.5,16.5,2.382,0.037,1.018,0.038,1.364,0.042,0.542,0.057,0.258,0.05,0.254,0.063,red,1.22282572,0.00085439,1.30767233,0.00135314,1.17034014,0.00027455,r,o,green,80
2MASS J21481628+4003593,18,16,0.5,16.5,2.382,0.037,1.018,0.038,1.364,0.042,0.542,0.057,0.258,0.05,0.254,0.063,red,1.30404879,0.00218042,1.3058522,0.00206043,1.17047222,0.00042804,r,o,green,80
2MASS J21481628+4003593,51,16,0.5,16.5,2.382,0.037,1.018,0.038,1.364,0.042,0.542,0.057,0.258,0.05,0.254,0.063,red,1.22660764,0.00088167,1.30266811,0.00076836,1.16899616,0.00049765,r,o,green,80
2MASS J21513979+3402444,-,17,1,17,1.721,0.187,0.817,0.204,0.904,0.226,-0.089,0.193,0.117,0.206,-0.206,0.229,blue,1.29688484,0.00865466,1.27624423,0.00344462,1.17199477,0.00165588,b,o,grey,80
2MASS J21580457-1550098,36,14,1,-,1.86,0.054,0.68,0.049,1.17,0.052,0.11,0.067,0.63,0.054,0.1,0.059,field,1.23098417,0.00738114,1.29469553,0.00153151,1.18182673,0.00058796,grey,*,red,100
2MASS J21580457-1550098,37,14,1,-,1.86,0.054,0.68,0.049,1.17,0.052,0.11,0.067,0.63,0.054,0.1,0.059,field,1.23081747,0.00556183,1.29459098,0.0015497,1.18181842,0.00061353,grey,*,red,100
2MASS J222711-004547,-,17,1,17,3.04,0.168,1.32,0.305,1.72,0.265,1.23,0.174,0.62,0.306,0.61,0.267,red,1.22151573,0.0060797,1.26559764,0.16138313,1.18476472,0.00129845,r,o,grey,80
2MASS J23512200+3010540,-,15.5,0.5,15,1.831,0.118,0.553,0.094,1.278,0.123,0.081,0.124,0.553,0.094,1.278,0.123,red,1.22578971,0.003559,1.29988917,0.00040241,1.17526413,0.00055126,r,o,grey,80
2MASSW 2244316+204343,19,16.5,0.5,17.5,2.454,0.158,0.977,0.098,1.477,0.155,0.614,0.162,0.217,0.104,0.367,0.162,young,1.31131334,0.03017136,1.29338395,0.00057659,1.15672448,0.00366673,r,^,blue,80
2MASSW 2244316+204343,38,16.5,0.5,17.5,2.454,0.158,0.977,0.098,1.477,0.155,0.614,0.162,0.217,0.104,0.367,0.162,young,1.27753006,0.05032294,1.29376784,0.00316074,1.15729384,0.0022728,r,^,blue,80
